SOURCE,Summary Topics x13,Summary Category x13,Summary Category x19,Summary Category 2,CATEGORY / SUB-CATEGORY / SUBJECT / TOPIC,CATEGORY / SUB-CATEGORY,"""See also"" [from ShopTags]"
ShopTags,State and Citizens,Land and Buildings,Land and Buildings,,Domesday,,
ResearchGuidesSubcategoriesCategories,State and Citizens,State and Citizens,Politics and Law,,Domestic politics,Online collections,
ResearchGuidesSubcategoriesCategories,State and Citizens,State and Citizens,Politics and Law,,Domestic politics,Political and economic history,
ShopTags,Family and Identity,"People, Society and Culture",Trade and Industry,,Domestic Service,,
ShopTags,War and Conflict,"Military, War and Conflict",War and Conflict,The World,Dunkirk,,World War II
ShopTags,International Trade and Affairs,"Money, Business, Finance and Trade",Trade and Industry,The World,East India Company,,Trade and commerce
ResearchGuidesSubcategoriesCategories,"Business, Finance and Innovation","Money, Business, Finance and Trade",Money and Finance,,Economic history,Political and economic history,
ASDTopics,State and Citizens,"People, Society and Culture","People, Society and Culture",,Education,,
CatalogueTaxonomyTerms,State and Citizens,"People, Society and Culture","People, Society and Culture",,Education,,
ResearchGuidesSubcategoriesCategories,State and Citizens,"People, Society and Culture","People, Society and Culture",,Education,Social and cultural history,
CatalogueTaxonomyTerms,State and Citizens,State and Citizens,Politics and Law,Oppression and Revolution,Electoral reform,,
CatalogueTaxonomyTerms,"Business, Finance and Innovation","Science, Technology and Industry",Science and Technology,,Electricity,,
ShopTags,International Trade and Affairs,The World,The World,,Empire,,
ImageLibraryCategories,Arts and Culture,"Arts, Design and Media","Arts, Design and Media",,Entertainment and theatre,,
ASDTopics,Agriculture and Environment,Agriculture and Environment,Nature and Environment,,Environment,,
ResearchGuidesSubcategoriesCategories,Agriculture and Environment,Agriculture and Environment,Food and Agriculture,Nature and Environment,Environment agriculture,Land and maps,
CatalogueTaxonomyTerms,International Trade and Affairs,The World,The World,,Europe and Russia,,
ShopTags,War and Conflict,"Military, War and Conflict",War and Conflict,,Evacuees,,
ResearchGuidesCategoriesSubcategories,"Crime, Courts and Justice","People, Society and Culture","People, Society and Culture",,Family history,"Courts, criminals, prisoners and litigants",
MediaCategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,Family history,,
ShopTags,Family and Identity,"People, Society and Culture","People, Society and Culture",,Family history,,
ResearchGuidesCategoriesSubcategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,Family history,"Births, marriages and deaths",
ResearchGuidesCategoriesSubcategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,Family history,Census and other national surveys,
ResearchGuidesCategoriesSubcategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,Family history,"Divorce, adoption and change of name",
ResearchGuidesCategoriesSubcategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,Family history,"Immigrants, emigrants and refugees",
ResearchGuidesCategoriesSubcategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,Family history,"Occupations, commerce and trade",
ResearchGuidesCategoriesSubcategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,Family history,Tracing living people and electoral registration,
ResearchGuidesCategoriesSubcategories,Family and Identity,"People, Society and Culture","People, Society and Culture",,Family history,"Wills, inheritance and land ownership",
ResearchGuidesCategoriesSubcategories,Health and Welfare,"People, Society and Culture","People, Society and Culture",,Family history,Health and welfare,
ResearchGuidesCategoriesSubcategories,International Trade and Affairs,"People, Society and Culture","People, Society and Culture",,Family history,Foreign and colonial,
ResearchGuidesSubcategoriesCategories,International Trade and Affairs,"People, Society and Culture","People, Society and Culture",,Family history,Foreign and colonial history,
ResearchGuidesCategoriesSubcategories,Land and Buildings,"People, Society and Culture","People, Society and Culture",,Family history,"Houses, schools and other institutions",
ResearchGuidesCategoriesSubcategories,Military and Maritime,"People, Society and Culture","People, Society and Culture",,Family history,Army and militia,
ResearchGuidesCategoriesSubcategories,Military and Maritime,"People, Society and Culture","People, Society and Culture",,Family history,Medals and awards,
ResearchGuidesCategoriesSubcategories,Military and Maritime,"People, Society and Culture","People, Society and Culture",,Family history,Merchant Navy,
ResearchGuidesCategoriesSubcategories,Military and Maritime,"People, Society and Culture","People, Society and Culture",,Family history,Royal Air Force and other air services,
ResearchGuidesCategoriesSubcategories,Military and Maritime,"People, Society and Culture","People, Society and Culture",,Family history,Royal Navy and Royal Marines,
ResearchGuidesCategoriesSubcategories,Religion and Belief,"People, Society and Culture","People, Society and Culture",,Family history,Religious groups,
ResearchGuidesSubcategoriesCategories,State and Citizens,"People, Society and Culture","People, Society and Culture",,Family history,Medieval and early modern history,
ResearchGuidesCategoriesSubcategories,War and Conflict,"People, Society and Culture","People, Society and Culture",,Family history,Prisoners of war and internees,
CatalogueTaxonomyTerms,Agriculture and Environment,Agriculture and Environment,Food and Agriculture,Nature and Environment,Farming,,
CatalogueTaxonomyTerms,State and Citizens,State and Citizens,Oppression and Revolution,Politics and Law,Fascism,,
ASDTopics,Arts and Culture,"Arts, Design and Media","Arts, Design and Media",,"Film, Media and Performing Arts",,
ResearchGuidesCategoriesSubcategories,Military and Maritime,"Military, War and Conflict",War and Conflict,,First World War,Army,
ResearchGuidesCategoriesSubcategories,Military and Maritime,"Military, War and Conflict",War and Conflict,,First World War,Medals and awards,
ResearchGuidesCategoriesSubcategories,Military and Maritime,"Military, War and Conflict",War and Conflict,,First World War,Merchant Navy,
ResearchGuidesCategoriesSubcategories,Military and Maritime,"Military, War and Conflict",War and Conflict,,First World War,Military courts and conscription,
ResearchGuidesCategoriesSubcategories,Military and Maritime,"Military, War and Conflict",War and Conflict,,First World War,Nursing,
ResearchGuidesCategoriesSubcategories,Military and Maritime,"Military, War and Conflict",War and Conflict,,First World War,Prisoners of war and internees,
ResearchGuidesCategoriesSubcategories,Military and Maritime,"Military, War and Conflict",War and Conflict,,First World War,Royal Air Force and other air services,
ResearchGuidesCategoriesSubcategories,Military and Maritime,"Military, War and Conflict",War and Conflict,,First World War,Royal Navy and Royal Marines,
ImageLibraryCategories,War and Conflict,"Military, War and Conflict",War and Conflict,,First World War,,
ResearchGuidesCategoriesSubcategories,War and Conflict,"Military, War and Conflict",War and Conflict,,First World War,"Births, marriages and deaths",
ResearchGuidesCategoriesSubcategories,War and Conflict,"Military, War and Conflict",War and Conflict,,First World War,Foreign and colonial affairs,
ResearchGuidesCategoriesSubcategories,War and Conflict,"Military, War and Conflict",War and Conflict,,First World War,Home Front,
ResearchGuidesCategoriesSubcategories,War and Conflict,"Military, War and Conflict",War and Conflict,,First World War,Intelligence services,
ResearchGuidesCategoriesSubcategories,War and Conflict,"Military, War and Conflict",War and Conflict,,First World War,"Maps, plans and land",
ResearchGuidesSubcategoriesCategories,War and Conflict,"Military, War and Conflict",War and Conflict,,First World War,Online collections,
CatalogueTaxonomyTerms,Agriculture and Environment,Agriculture and Environment,Food and Agriculture,Nature and Environment,Fishing,,
CatalogueTaxonomyTerms,Agriculture and Environment,Agriculture and Environment,Food and Agriculture,,Food and drink,,
ResearchGuidesSubcategoriesCategories,International Trade and Affairs,The World,The World,,Foreign affairs and countries,Foreign and colonial history,
ResearchGuidesSubcategoriesCategories,International Trade and Affairs,The World,The World,,Foreign affairs and countries,Political and economic history,
ResearchGuidesSubcategoriesCategories,International Trade and Affairs,The World,The World,,Foreign affairs and diplomacy,Medieval and early modern history,
ResearchGuidesSubcategoriesCategories,International Trade and Affairs,The World,The World,,Foreign and colonial,Family history,
ResearchGuidesSubcategoriesCategories,International Trade and Affairs,The World,The World,,Foreign and colonial affairs,First World War,
ResearchGuidesSubcategoriesCategories,International Trade and Affairs,The World,The World,,Foreign and colonial affairs,Second World War,
ResearchGuidesCategoriesSubcategories,International Trade and Affairs,The World,The World,,Foreign and colonial history,Colonial affairs and colonies,
ResearchGuidesCategoriesSubcategories,International Trade and Affairs,The World,The World,,Foreign and colonial history,Family history,
ResearchGuidesCategoriesSubcategories,International Trade and Affairs,The World,The World,,Foreign and colonial history,Foreign affairs and countries,
ResearchGuidesCategoriesSubcategories,International Trade and Affairs,The World,The World,,Foreign and colonial history,Maps and images,
CatalogueTaxonomyTerms,Agriculture and Environment,Agriculture and Environment,Nature and Environment,,Forestry,,
CatalogueTaxonomyTerms,Family and Identity,"People, Society and Culture","People, Society and Culture",,Freemasons,,
CatalogueTaxonomyTerms,"Business, Finance and Innovation","Money, Business, Finance and Trade",Money and Finance,"People, Society and Culture",Friendly societies,,
ASDTopics,Arts and Culture,"Arts, Design and Media","Arts, Design and Media",,Furniture and Interior Design,,
CatalogueTaxonomyTerms,"Business, Finance and Innovation","Money, Business, Finance and Trade",Money and Finance,,Government finances,,
ResearchGuidesSubcategoriesCategories,Land and Buildings,Land and Buildings,Land and Buildings,,Government use of land,Land and maps,
ResearchGuidesSubcategoriesCategories,Health and Welfare,Health and Welfare,Health and Welfare,,Health,Social and cultural history,
ResearchGuidesSubcategoriesCategories,Health and Welfare,Health and Welfare,Health and Welfare,,Health and welfare,Family history,
ShopTags,Family and Identity,"Military, War and Conflict",Military and Maritime,,Heraldry,,
ResearchGuidesSubcategoriesCategories,War and Conflict,"Military, War and Conflict",War and Conflict,,Home Front,First World War,
ResearchGuidesSubcategoriesCategories,War and Conflict,"Military, War and Conflict",War and Conflict,,Home Front,Military and maritime,
ResearchGuidesSubcategoriesCategories,War and Conflict,"Military, War and Conflict",War and Conflict,,Home Front,Second World War,
ShopTags,War and Conflict,"Military, War and Conflict",War and Conflict,,Home Front,,World War I; World War II
ShopTags,War and Conflict,"Military, War and Conflict",War and Conflict,,Home Guard,,World War II
ASDTopics,Agriculture and Environment,Agriculture and Environment,Nature and Environment,"People, Society and Culture",Horticulture,,
CatalogueTaxonomyTerms,Health and Welfare,Health and Welfare,Health and Welfare,Land and Buildings,Hospitals,,
ResearchGuidesSubcategoriesCategories,State and Citizens,"People, Society and Culture","People, Society and Culture",,Household ceremonial and culture,Medieval and early modern history,
ResearchGuidesSubcategoriesCategories,Land and Buildings,Land and Buildings,Land and Buildings,,"Houses, schools and other institutions",Family history,
CatalogueTaxonomyTerms,Land and Buildings,Land and Buildings,Land and Buildings,,Housing,,
CatalogueTaxonomyTerms,Agriculture and Environment,"People, Society and Culture",Sport,Food and Agriculture,Hunting,,
ResearchGuidesSubcategoriesCategories,Family and Identity,The World,The World,,"Immigrants, emigrants and refugees",Family history,
ASDTopics,International Trade and Affairs,The World,The World,,Imperial History,,
CatalogueTaxonomyTerms,International Trade and Affairs,The World,The World,,Indian Subcontinent,,
CatalogueTaxonomyTerms,"Business, Finance and Innovation","Money, Business, Finance and Trade",Money and Finance,,Inflation,,
CatalogueTaxonomyTerms,War and Conflict,"Military, War and Conflict",War and Conflict,,Intelligence,,Bletchley Park; Cold War; SOE
ResearchGuidesSubcategoriesCategories,War and Conflict,"Military, War and Conflict",War and Conflict,,Intelligence services,First World War,
ResearchGuidesSubcategoriesCategories,War and Conflict,"Military, War and Conflict",War and Conflict,,Intelligence services,Military and maritime,
ResearchGuidesSubcategoriesCategories,War and Conflict,"Military, War and Conflict",War and Conflict,,Intelligence services,Second World War,
CatalogueTaxonomyTerms,International Trade and Affairs,The World,The World,,International,,
MediaCategories,International Trade and Affairs,The World,The World,,International,,
CatalogueTaxonomyTerms,War and Conflict,"Military, War and Conflict",War and Conflict,Oppression and Revolution,Internment,,
ASDTopics,International Trade and Affairs,The World,The World,,Ireland,,
CatalogueTaxonomyTerms,International Trade and Affairs,The World,The World,,Ireland,,
CatalogueTaxonomyTerms,"Business, Finance and Innovation","Science, Technology and Industry",Trade and Industry,Science and Technology,"Iron, steel and metals",,
ShopTags,"Crime, Courts and Justice",Crime and Justice,Crime and Justice,,Jack the Ripper,,Crime
ASDTopics,Religion and Belief,Religion,Religion,"People, Society and Culture",Jewish History,,
CatalogueTaxonomyTerms,"Business, Finance and Innovation","Money, Business, Finance and Trade",Trade and Industry,"People, Society and Culture",Labour,,
ASDTopics,State and Citizens,State and Citizens,Politics and Law,Oppression and Revolution,Labour Movement,,
ResearchGuidesSubcategoriesCategories,Land and Buildings,Land and Buildings,Land and Buildings,,Land,Social and cultural history,
ResearchGuidesSubcategoriesCategories,International Trade and Affairs,The World,The World,Land and Buildings,Land abroad,Land and maps,
ResearchGuidesCategoriesSubcategories,Agriculture and Environment,Land and Buildings,Land and Buildings,,Land and maps,Environment agriculture,
ResearchGuidesCategoriesSubcategories,Land and Buildings,Land and Buildings,Land and Buildings,,Land and maps,Church and crown lands,
ResearchGuidesCategoriesSubcategories,Land and Buildings,Land and Buildings,Land and Buildings,,Land and maps,Government use of land,
ResearchGuidesCategoriesSubcategories,Land and Buildings,Land and Buildings,Land and Buildings,,Land and maps,Land abroad,
ResearchGuidesCategoriesSubcategories,Land and Buildings,Land and Buildings,Land and Buildings,,Land and maps,Local history,
ResearchGuidesCategoriesSubcategories,Land and Buildings,Land and Buildings,Land and Buildings,,Land and maps,Maps,
ResearchGuidesCategoriesSubcategories,Land and Buildings,Land and Buildings,Land and Buildings,,Land and maps,Ownership and inheritance,
ResearchGuidesCategoriesSubcategories,Land and Buildings,Land and Buildings,Land and Buildings,,Land and maps,Taxes on land,
CatalogueTaxonomyTerms,Land and Buildings,Land and Buildings,Land and Buildings,"People, Society and Culture",Landed estates,,
ResearchGuidesSubcategoriesCategories,Land and Buildings,Land and Buildings,Land and Buildings,"People, Society and Culture",Landholding and inheritance,Medieval and early modern history,
ShopTags,Agriculture and Environment,Land and Buildings,Land and Buildings,"People, Society and Culture",Landscape and Identity,,
